ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
00907,41980,1,17458,13224,3480368,3132947,17458,13224,3480368,3132947,2478905,1073552,5223033344,4117856690,100,100,100,100,.7,1.23,.07,.08
00909,41980,1,6230,3805,1624902,1575598,6230,3805,1624902,1575598,2478905,1073552,5223033344,4117856690,100,100,100,100,.25,.35,.03,.04
00911,41980,1,8623,6096,1245504,1245504,8623,6096,1245504,1245504,2478905,1073552,5223033344,4117856690,100,100,100,100,.35,.57,.02,.03
00912,41980,1,6801,3884,854044,854044,6801,3884,854044,854044,2478905,1073552,5223033344,4117856690,100,100,100,100,.27,.36,.02,.02
00913,41980,1,9312,4065,843188,843188,9312,4065,843188,843188,2478905,1073552,5223033344,4117856690,100,100,100,100,.38,.38,.02,.02
00915,41980,1,32820,16538,4422364,3601480,32820,16538,4422364,3601480,2478905,1073552,5223033344,4117856690,100,100,100,100,1.32,1.54,.08,.09
00917,41980,1,21053,12348,3407008,3360017,21053,12348,3407008,3360017,2478905,1073552,5223033344,4117856690,100,100,100,100,.85,1.15,.07,.08
00918,41980,1,18056,10850,5621803,5520556,18056,10850,5621803,5520556,2478905,1073552,5223033344,4117856690,100,100,100,100,.73,1.01,.11,.13
00920,41980,1,17893,9322,7467316,7331380,17893,9322,7467316,7331380,2478905,1073552,5223033344,4117856690,100,100,100,100,.72,.87,.14,.18
00921,41980,1,37763,17728,6931388,6931388,37763,17728,6931388,6931388,2478905,1073552,5223033344,4117856690,100,100,100,100,1.52,1.65,.13,.17
00923,41980,1,29086,13969,5291289,5283986,29086,13969,5291289,5283986,2478905,1073552,5223033344,4117856690,100,100,100,100,1.17,1.3,.1,.13
00924,41980,1,56691,24971,12145105,12143485,56691,24971,12145105,12143485,2478905,1073552,5223033344,4117856690,100,100,100,100,2.29,2.33,.23,.29
00925,41980,1,8696,5413,1158082,1158082,8696,5413,1158082,1158082,2478905,1073552,5223033344,4117856690,100,100,100,100,.35,.5,.02,.03
00926,41980,1,108862,47317,63627467,62575083,108862,47317,63627467,62575083,2478905,1073552,5223033344,4117856690,100,100,100,100,4.39,4.41,1.22,1.52
00927,41980,1,14936,7893,6809996,6804165,14936,7893,6809996,6804165,2478905,1073552,5223033344,4117856690,100,100,100,100,.6,.74,.13,.17
00934,41980,1,288,140,1967214,1940428,288,140,1967214,1940428,2478905,1073552,5223033344,4117856690,100,100,100,100,.01,.01,.04,.05
00936,41980,1,681,4,417955,417955,681,4,417955,417955,2478905,1073552,5223033344,4117856690,100,100,100,100,.03,0,.01,.01
00949,41980,1,82278,33340,47734641,45604190,82278,33340,47734641,45604190,2478905,1073552,5223033344,4117856690,100,100,100,100,3.32,3.11,.91,1.11
00950,41980,1,9,5,8194331,6204986,9,5,8194331,6204986,2478905,1073552,5223033344,4117856690,100,100,100,100,0,0,.16,.15
00951,41980,1,35,19,1105181,1075640,35,19,1105181,1075640,2478905,1073552,5223033344,4117856690,100,100,100,100,0,0,.02,.03
00952,41980,1,10008,4169,3207681,3207681,10008,4169,3207681,3207681,2478905,1073552,5223033344,4117856690,100,100,100,100,.4,.39,.06,.08
00953,41980,1,73014,26609,70510220,69144842,73014,26609,70510220,69144842,2478905,1073552,5223033344,4117856690,100,100,100,100,2.95,2.48,1.35,1.68
00956,41980,1,79304,32550,68779793,68564483,79304,32550,68779793,68564483,2478905,1073552,5223033344,4117856690,100,100,100,100,3.2,3.03,1.32,1.67
00957,41980,1,45680,18275,11967204,11965797,45680,18275,11967204,11965797,2478905,1073552,5223033344,4117856690,100,100,100,100,1.84,1.7,.23,.29
00959,41980,1,50560,22445,16691457,16609667,50560,22445,16691457,16609667,2478905,1073552,5223033344,4117856690,100,100,100,100,2.04,2.09,.32,.4
00960,41980,1,1779,0,2412149,2409664,1779,0,2412149,2409664,2478905,1073552,5223033344,4117856690,100,0,100,100,.07,0,.05,.06
00961,41980,1,32429,13394,13572868,13367398,32429,13394,13572868,13367398,2478905,1073552,5223033344,4117856690,100,100,100,100,1.31,1.25,.26,.32
00962,41980,1,22491,8939,11028515,9876249,22491,8939,11028515,9876249,2478905,1073552,5223033344,4117856690,100,100,100,100,.91,.83,.21,.24
00965,41980,1,9134,3848,2032077,1689483,9134,3848,2032077,1689483,2478905,1073552,5223033344,4117856690,100,100,100,100,.37,.36,.04,.04
00966,41980,1,16676,7894,8405703,8401213,16676,7894,8405703,8401213,2478905,1073552,5223033344,4117856690,100,100,100,100,.67,.74,.16,.2
00968,41980,1,3478,2228,1180763,1180763,3478,2228,1180763,1180763,2478905,1073552,5223033344,4117856690,100,100,100,100,.14,.21,.02,.03
00969,41980,1,42219,17775,12662125,12622328,42219,17775,12662125,12622328,2478905,1073552,5223033344,4117856690,100,100,100,100,1.7,1.66,.24,.31
00971,41980,1,30986,12895,41418592,41324409,30986,12895,41418592,41324409,2478905,1073552,5223033344,4117856690,100,100,100,100,1.25,1.2,.79,1
00976,41980,1,65136,26564,44094982,43356810,65136,26564,44094982,43356810,2478905,1073552,5223033344,4117856690,100,100,100,100,2.63,2.47,.84,1.05
00979,41980,1,17030,12765,4565904,4061150,17030,12765,4565904,4061150,2478905,1073552,5223033344,4117856690,100,100,100,100,.69,1.19,.09,.1
00982,41980,1,16428,7402,3673342,3654231,16428,7402,3673342,3654231,2478905,1073552,5223033344,4117856690,100,100,100,100,.66,.69,.07,.09
00983,41980,1,39234,16985,9610522,8987630,39234,16985,9610522,8987630,2478905,1073552,5223033344,4117856690,100,100,100,100,1.58,1.58,.18,.22
00985,41980,1,36553,15241,21842799,21083058,36553,15241,21842799,21083058,2478905,1073552,5223033344,4117856690,100,100,100,100,1.47,1.42,.42,.51
00987,41980,1,63661,25557,64725573,64272333,63661,25557,64725573,64272333,2478905,1073552,5223033344,4117856690,100,100,100,100,2.57,2.38,1.24,1.56
01001,44140,1,16769,7557,31865240,29635470,16769,7557,31865240,29635470,692942,288536,4931427873,4775199911,100,100,100,100,2.42,2.62,.65,.62
01002,44140,1,29049,10388,146836622,142556362,29049,10388,146836622,142556362,692942,288536,4931427873,4775199911,100,100,100,100,4.19,3.6,2.98,2.99
01003,44140,1,10372,5,1855172,1842384,10372,5,1855172,1842384,692942,288536,4931427873,4775199911,100,100,100,100,1.5,0,.04,.04
01005,49340,1,5079,2044,115253945,114586903,5079,2044,115253945,114586903,798552,326788,4090093562,3912876833,100,100,100,100,.64,.63,2.82,2.93
01007,44140,1,14649,5839,143289852,136345999,14649,5839,143289852,136345999,692942,288536,4931427873,4775199911,100,100,100,100,2.11,2.02,2.91,2.86
01008,44140,1,1263,586,144417560,139331467,1263,586,144417560,139331467,692942,288536,4931427873,4775199911,100,100,100,100,.18,.2,2.93,2.92
01009,44140,1,741,341,2065025,2065002,741,341,2065025,2065002,692942,288536,4931427873,4775199911,100,100,100,100,.11,.12,.04,.04
01010,44140,1,3609,1598,91403071,89982811,3609,1598,91403071,89982811,692942,288536,4931427873,4775199911,100,100,100,100,.52,.55,1.85,1.88
01011,44140,1,1370,659,82227136,81884563,1370,659,82227136,81884563,692942,288536,4931427873,4775199911,100,100,100,100,.2,.23,1.67,1.71
01012,44140,1,661,343,34522824,33977749,661,343,34522824,33977749,692942,288536,4931427873,4775199911,100,100,100,100,.1,.12,.7,.71
01013,44140,1,23188,10246,16298932,14567022,23188,10246,16298932,14567022,692942,288536,4931427873,4775199911,100,100,100,100,3.35,3.55,.33,.31
01020,44140,1,29668,13688,33486648,32308345,29668,13688,33486648,32308345,692942,288536,4931427873,4775199911,100,100,100,100,4.28,4.74,.68,.68
